CustomerID,Age,Income,PurchaseAmount
1,39,73892,54.99
2,33,88641,33.13
3,41,39021,303.54
4,50,68444,367.74
5,32,50240,9.63
6,32,52693,825.66
7,50,51114,16.01
8,42,47040,233.81
9,30,60727,370.39
10,40,47535,614.31
11,30,64056,375.62
12,30,59246,485.43
13,37,56415,124.4
14,18,46386,505.94
15,18,51348,25.05
16,29,71330,675.62
17,24,67513,237.95
18,38,45336,509.97
19,25,61489,180.62
20,20,71270,309.49
21,49,34958,224.22
22,32,68150,394.57
23,35,50060,25.55
24,20,68558,18.68
25,29,48551,85.15
26,36,32926,52.14
27,23,35586,616.21
28,38,60721,74.24
29,28,63895,1117.23
30,32,46435,123.25
31,28,69578,60.31
32,53,35077,467.76
33,34,59008,322.5
34,24,41834,206.86
35,43,50222,243.15
36,22,60710,381.04
37,37,47093,77.81
38,18,54231,1682.59
39,21,75094,1104.19
40,36,51346,315.23
41,42,72535,66.77
42,36,43054,342.04
43,33,67947,22.48
44,31,81623,9.34
45,20,22925,89.39
46,27,48046,186.32
47,30,68656,608.11
48,45,56954,389.67
49,38,65567,407.26
50,18,50940,166.27
51,38,61298,127.36
52,31,57664,139.11
53,28,77516,1318.22
54,41,63816,12.28
55,45,65064,605.29
56,44,53821,259.31
57,26,52685,173.2
58,31,53511,387.58
59,38,65916,200.05
60,44,53685,620.07
61,30,64346,692.89
62,33,91131,164.31
63,23,73066,97.23
64,23,55109,269.2
65,43,78018,730.37
66,48,53878,70.97
67,34,29428,292.63
68,45,44878,299.54
69,38,31938,396.28
70,28,54727,42.32
71,38,60276,377.45
72,50,85146,719.18
73,34,64903,59.42
74,50,56713,81.36
75,18,72441,1066.25
76,43,26832,59.89
77,35,63534,578.04
78,32,71562,203.35
79,35,37821,85.2
80,18,77156,613.8
81,32,65077,176.8
82,38,53770,216.97
83,49,69491,133.53
84,29,94060,269.65
85,26,62727,53.57
86,29,63723,148.82
87,44,53109,1046.15
88,38,47252,89.58
89,29,72455,320.78
90,40,47158,118.0
91,35,61073,445.47
92,44,52835,42.08
93,27,67184,1050.18
94,31,65004,181.43
95,31,75563,80.78
96,20,52349,22.9
97,37,55951,55.81
98,37,45318,220.05
99,35,53335,123.3
100,32,65659,529.62
101,20,71354,169.1
102,30,46167,85.79
103,31,73044,288.03
104,26,80334,368.05
105,33,66201,54.83
106,39,88151,55.04
107,53,48393,11.21
108,36,41330,400.0
109,37,33319,327.02
110,34,82440,193.1
111,18,69815,557.7
112,34,59166,491.46
113,35,64199,264.1
114,59,43117,608.1
115,33,96686,69.14
116,38,61938,35.61
117,34,61640,94.31
118,23,70886,17.63
119,46,67215,227.25
120,42,63358,827.51
121,42,48142,12.04
122,25,67072,39.07
123,49,88230,180.55
124,20,80181,814.86
125,40,83897,114.01
126,56,52331,212.32
127,25,45155,12.74
128,29,58113,48.17
129,35,60835,1294.43
130,29,76412,1006.74
131,19,34613,1.49
132,35,82943,909.79
133,24,57629,305.76
134,39,53596,607.3
135,25,44818,181.95
136,50,35177,217.45
137,27,72347,201.33
138,31,61099,329.76
139,43,40650,45.13
140,22,40573,9.13
141,37,54963,110.42
142,48,85035,365.91
143,18,56106,67.64
144,36,37452,335.74
145,37,56313,1051.09
146,42,55909,29.58
147,22,20000,334.97
148,21,59185,175.96
149,40,56535,607.81
150,37,70443,58.49
151,37,87734,353.91
152,38,76898,546.26
153,28,55966,868.03
154,37,43402,344.89
155,37,98600,206.25
156,27,60888,288.58
157,53,60208,609.55
158,39,59638,253.62
159,23,62971,9.26
