Rk,Gcar,Gtm,Date,Team,NA,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1.0,780.0,1.0,2024-03-28,NYY,@,HOU,W 5-4,CG,5,3,0,1,0,0,0,1,0,0,2,1,0.333,0.6,0.333,0.933,1,0,0,0,0,0,0.93,0.115,0.86,0.06%,1.18,9.0,12.5,2.0,RF
2.0,781.0,2.0,2024-03-29,NYY,@,HOU,W 7-1,CG,5,4,0,3,1,0,0,1,0,0,1,0,0.571,0.7,0.714,1.414,4,0,0,0,0,0,1.45,0.153,1.43,0.09%,1.6,15.0,18.5,2.0,RF
3.0,782.0,3.0,2024-03-30,NYY,@,HOU,W 5-3,CG,5,5,2,2,0,0,1,1,0,0,0,0,0.5,0.6,0.833,1.433,5,1,0,0,0,0,0.89,0.124,0.93,0.08%,0.12,19.0,24.9,2.0,RF
4.0,783.0,4.0,2024-03-31,NYY,@,HOU,W 4-3,CG,5,5,0,3,0,0,0,1,0,0,0,1,0.529,0.6,0.765,1.365,3,0,0,0,0,0,1.52,0.394,1.61,0.25%,1.45,11.0,12.5,2.0,RF
5.0,784.0,5.0,2024-04-01,NYY,@,ARI,W 5-2,CG,5,3,0,0,0,0,0,0,0,0,2,1,0.45,0.56,0.65,1.21,0,0,0,0,0,0,0.48,-0.015,0.49,-0.01%,-0.31,4.0,6.0,2.0,RF
6.0,785.0,6.0,2024-04-02,NYY,@,ARI,L 0-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,0.417,0.517,0.583,1.101,1,1,0,0,0,0,0.67,-0.061,0.7,-0.04%,-0.93,3.0,3.0,2.0,RF
7.0,786.0,7.0,2024-04-03,NYY,@,ARI,W 6-5 (11),CG(11),5,5,1,0,0,0,0,0,0,0,0,0,0.345,0.441,0.483,0.924,0,0,0,0,0,0,1.44,-0.183,1.49,-0.11%,-1.32,2.0,3.2,2.0,RF
8.0,787.0,8.0,2024-04-05,NYY,,TOR,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,0.303,0.395,0.424,0.819,0,0,0,0,0,0,1.12,-0.112,1.29,-0.08%,-0.79,0.0,0.0,2.0,RF
9.0,788.0,9.0,2024-04-06,NYY,,TOR,W 9-8,CG,5,3,1,2,0,0,0,2,0,0,2,0,0.333,0.442,0.444,0.886,2,0,0,0,0,0,0.25,0.051,0.28,0.04%,2.14,16.0,22.2,2.0,RF
10.0,789.0,10.0,2024-04-07,NYY,,TOR,W 8-3,CG,5,3,1,1,0,0,0,1,0,0,1,1,0.333,0.438,0.436,0.873,1,0,0,0,1,0,0.47,0.012,0.57,0.01%,0.04,9.0,12.7,2.0,RF
