Rk,Gtm,Date,Team,NA,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1.0,1.0,2025-03-27,NYM,@,HOU,L 1-3,CG,5,3,0,1,0,0,0,0,0,0,2,1,0.226,0.435,0.452,0.886,1,0,0,0,0,0,1.13,-0.02,1.03,-0.01%,0.08,7.0,9.0,2.0,RF
2.0,2.0,2025-03-28,NYM,@,HOU,W 3-1,CG,4,3,1,1,0,0,1,1,0,0,1,1,0.235,0.44,0.529,0.969,4,0,0,0,0,0,0.69,0.096,0.59,0.05%,0.89,16.0,21.7,2.0,RF
3.0,3.0,2025-03-29,NYM,@,HOU,L 1-2,CG,4,3,0,1,1,0,0,1,0,0,1,0,0.243,0.444,0.541,0.985,2,0,0,0,0,0,1.56,0.177,1.4,0.10%,0.86,9.0,12.5,2.0,RF
4.0,4.0,2025-03-31,NYM,@,MIA,W 10-4,CG,5,4,1,1,0,0,0,0,0,0,1,0,0.244,0.441,0.512,0.953,1,1,0,0,0,0,0.67,0.069,0.66,0.04%,0.0,7.0,9.2,2.0,RF
5.0,5.0,2025-04-01,NYM,@,MIA,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,0.227,0.429,0.477,0.906,0,0,0,0,0,0,1.1,0.007,1.11,0.00%,-0.27,2.0,3.0,2.0,RF
6.0,6.0,2025-04-02,NYM,@,MIA,W 6-5 (11),CG(11),5,5,3,1,0,0,0,0,0,0,0,1,0.224,0.412,0.449,0.861,1,0,0,0,0,0,2.07,-0.25,2.1,-0.15%,-1.39,9.0,12.6,2.0,RF
7.0,7.0,2025-04-04,NYM,,TOR,W 5-0,CG,4,4,1,1,1,0,0,1,1,0,0,0,0.197,0.364,0.434,0.798,2,0,0,0,0,0,0.44,0.022,0.4,0.01%,0.19,14.0,18.7,2.0,RF
8.0,8.0,2025-04-05,NYM,,TOR,W 3-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,0.2,0.359,0.425,0.784,1,0,0,0,0,0,1.42,0.074,1.36,0.04%,0.18,5.0,6.2,2.0,RF
9.0,9.0,2025-04-06,NYM,,TOR,W 2-1,CG,4,3,1,1,1,0,0,0,0,0,1,0,0.205,0.364,0.434,0.798,2,1,0,0,0,0,0.89,-0.023,0.89,-0.01%,-0.26,9.0,12.2,2.0,RF
10.0,10.0,2025-04-07,NYM,,MIA,W 2-0,CG,4,3,0,2,1,0,0,1,0,0,1,1,0.221,0.378,0.453,0.832,3,0,0,0,0,0,1.18,0.19,1.3,0.13%,1.88,12.0,15.5,2.0,RF
